uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1696439628","04 Oct 2023, 17:13","Snail Mail","86cd4d38-857c-42bd-a5da-9acedcab1e01","Habit","319eb086-f640-42ea-ac58-2dc241261fc6","Thinning","336d03de-67a0-4518-8d22-a9ebecdd64c8"
"1696439487","04 Oct 2023, 17:11","Illuminati Hotties","","Kiss Yr Frenemies","0315e5ec-cf14-46f3-a3f7-28da9151706f","(You're Better) Than Ever","06d25eb0-1917-4a73-bb0e-6fdde176dd5a"
"1696439169","04 Oct 2023, 17:06","Snail Mail","86cd4d38-857c-42bd-a5da-9acedcab1e01","Habit","319eb086-f640-42ea-ac58-2dc241261fc6","Static Buzz","1437e389-ee21-44fc-9916-703ba8bf0e9d"
"1696438997","04 Oct 2023, 17:03","Shelly","79f4cd8c-5ca9-4132-98d0-ee59e8a28ddb","Shelly","7f28090f-23ea-41a8-9ef9-9fbea6adfbb4","Steeeam","54cb56c8-ca0d-4b0c-b46a-eaaa2d7d332c"
"1696438832","04 Oct 2023, 17:00","Alice Phoebe Lou","9c14317c-87b9-4f7c-a5a5-80add17a1709","Glow","c9407bec-ef7e-4b41-bc35-62118b99a127","Glow","9ef43482-46fd-430c-adb7-1a1969bf533c"
"1696438575","04 Oct 2023, 16:56","Mannequin Pussy","e160f589-dbe6-4b8f-88b5-f528ff4443b4","Patience","0f6e034d-aa7d-4bd1-946d-14732fe75928","In Love Again","8c148d8a-c34d-48cd-8298-35df1a4bef94"
"1696438367","04 Oct 2023, 16:52","TV Girl","38f0c7ac-46eb-49ca-b3ab-c785ccd05a60","French Exit","e461c1b4-4eb5-46c2-8eb1-1b29e1befdf4","Hate Yourself","a392ce80-d3f4-48cf-9441-185307f8a346"
"1696438162","04 Oct 2023, 16:49","boygenius","3ceeddbd-fba5-4bdb-99f7-2d028ed5afda","boygenius","1de4f105-7189-4cd6-9b65-f23b9482e68d","Bite the Hand","1a9fd0eb-a279-4dc8-bf4d-63a09881bd29"
"1696437880","04 Oct 2023, 16:44","Pavement","","Brighten the Corners: Nicene Creedence Ed.","3b7c9589-d3e1-4a83-bc7b-a5b3f300840f","Harness Your Hopes - b-side",""
"1696437634","04 Oct 2023, 16:40","Slow Pulp","00505f51-68a8-45fc-b6d6-51be64751378","Moveys","b064d95c-39b1-4bb1-a0de-7dd72c9d5641","Idaho","061932cf-ab44-4e66-b178-8f433d56f752"
"1696437625","04 Oct 2023, 16:40","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Stringers","21d855dc-5186-4bc0-8a1c-40b72434e34d"
"1696437406","04 Oct 2023, 16:36","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","for young hearts","832bcf3b-973e-4a27-8b42-7efefab97cd4","henry","4584bf0f-0950-430a-aacb-f18350557431"
"1696437213","04 Oct 2023, 16:33","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","Clean","6b94dabe-08de-4f7d-8a0f-474a50ca89c7","Your Dog","c1128a68-cab3-43ae-ae7a-06b25e67d8ad"
"1696437057","04 Oct 2023, 16:30","Pinegrove","871fe26f-544d-4275-a5dd-af5442d15b92","11:11","e49c9422-acdb-4003-b137-007886eec272","Alaska","a580b844-0902-4000-ae27-2df019b19556"
"1696436800","04 Oct 2023, 16:26","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Stringers","21d855dc-5186-4bc0-8a1c-40b72434e34d"
"1696436575","04 Oct 2023, 16:22","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Spider","0852a1d8-c0b8-49d8-a6fd-e14332af93a0"
"1696436020","04 Oct 2023, 16:13","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Sidewalk",""
"1696435826","04 Oct 2023, 16:10","Momma","","Momma on Audiotree Live","","Motorbike - Audiotree Live Version",""
"1696434560","04 Oct 2023, 15:49","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Pipe Thing",""
"1696434372","04 Oct 2023, 15:46","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Roach Head","9f2aca84-5cd1-4a8d-a543-e029ac4bacc6"
"1696434181","04 Oct 2023, 15:43","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Double Dare","59162c79-2b6b-4a7e-973d-3ab952cb8397"
"1696433955","04 Oct 2023, 15:39","Momma","a17342a6-e661-4874-9687-957caf010377","Apollo/Highway","b9eddc67-424e-43be-8da1-3e1cc823f8d6","Apollo","7ae660b8-d55c-48c7-affa-8bbe8e557272"
"1696433759","04 Oct 2023, 15:35","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Carny","1074d2e0-6495-4dd9-97f8-21f309a051b1"
"1696433006","04 Oct 2023, 15:23","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","No Stage","bb713b42-aea3-4a6c-9af1-371d36d1a177"
"1696432751","04 Oct 2023, 15:19","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Belong on the Bed",""
"1696427915","04 Oct 2023, 13:58","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Speeding 72","76999890-3c06-480b-917f-09e010782554"
"1696427915","04 Oct 2023, 13:58","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Brave","6e12ac29-e10d-450f-8c77-ea1093e81075"
"1696427824","04 Oct 2023, 13:57","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Carny","1074d2e0-6495-4dd9-97f8-21f309a051b1"
"1696424347","04 Oct 2023, 12:59","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","No Stage","bb713b42-aea3-4a6c-9af1-371d36d1a177"
"1696424093","04 Oct 2023, 12:54","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Belong on the Bed",""
"1696423855","04 Oct 2023, 12:50","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Speeding 72","76999890-3c06-480b-917f-09e010782554"
"1696423607","04 Oct 2023, 12:46","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Brave","6e12ac29-e10d-450f-8c77-ea1093e81075"
"1696423441","04 Oct 2023, 12:44","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Bug House","42a1c713-29e5-4761-8c87-2c544df816d0"
"1696423266","04 Oct 2023, 12:41","Momma","a17342a6-e661-4874-9687-957caf010377","Bang Bang","5b9d610b-aa1a-44fa-9f3d-e516ee2d5028","Bang Bang","bb5628a1-4d59-4ce3-acb9-7413302e965a"
"1696423021","04 Oct 2023, 12:37","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Callin Me","971eef0d-a280-483f-bb17-9ae3ccc1c117"
